雙和聯盟17季,2021/03/21,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
吳興街友,0,0,0,1,0,,,,,,,,,,,,,,,
Super8,1,0,0,6,-,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,13,4,,,2,3,,1,0,,W,,,,,,,,
劉兆珩,8,2,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5,4;2,,1;0,1,,E,F,,,,,,,,,,
1,洪清心,13,5,1;0,,,1,,,,,K,H,,,,,,,
2,張紘睿,5,4,2;0,,2;0,1,1,H,,F,FC,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,陳緯,15,6,2;0,,1;0,,2,H,,F,BB,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,2,1;1,1;0;0,,,,H,,G,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,00,DH,,,,,,F,,,F,,,,,,,,
5,蘇昱先,77,DH,,,,,1,,,,,H,,,,,,,
6,蘇柏恩,23,3,2;0,,,1,,,BB,,H,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,王柏鈞,9,9,,,,1,,,G,,BB,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,郭東昇,27,7,2;0,,1;0,2,1,,BB,,H,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,邱冠融,73,8,,,1;0,1,,,F,,BB,,,,,,,,
9,葉昀羲,16,8,,,,,,,,,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,8,5,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
