雙和聯盟21季,2024/09/01,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Joba,2,0,0,0,2,,,,,,,,,,,,,,,
Super8,2,0,0,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,12,4,,5,1,7,3,2,0,,,,,,,,,,
曾翔,71,1,,,1,2,1,1,2,2,,L,,,,,,,,
陳宥竣,7,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,3;1,,,,1,,BB,G,,,,,,,,,,
1,楊皓為,68,1,,,,,,,,,,F,,,,,,,
2,陳冠宇,9,7,1;1,,,,,F,F,,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,9,1;0,,,1,,HBP,,G,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,DH;2,,,,,,BB,,F,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,葉昀羲,16,2,,1;6;0,,,1,HBP,,HBP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,陳緯,15,5,1;1,,,,1,BB,,F,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,張紘睿,5,4,1;0,,,,,F,,,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,何世馨,66,8,1;0,,,,,G,,,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,蕭清元,4,6,4;1,,,,,,G,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,2,2,,,,,,,,,,,,
