新莊聯盟25春季,2026/1/4,新月橋棒球場,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,,,,,,,,,,,
Super 8,0,2,0,0,2,0,,,,,,,,,,,,,,
後港傭兵,3,2,0,2,0,-,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,(W / L / H / S / BS),,,,,,,
劉兆珩,8,12,5,0,3,1,2,0,7,5,1;0,L,,,,,,,,
郭茂楠,99,3,1,0,1,0,0,1,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,周奕節,24,8,2;0,,1;0,,,F,F,,E,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4;6,,,,,,G,H,,F,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,3;1,,,1,,2B,,BB,,2B,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,4;1,,1;0,1,,H,,FC,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,2;1,,1;2;0,,,2,G,,K,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,林凌,00,DH;2,,,,1,,,H,G,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,鄭凱駿,2,5,2;0,,,1,,,BB,,,,,,,,,,
7,陳緯,15,5,2;1,,,,,,,,K,F,,,,,,,
8,陳宥竣,7,9,,,1;0,,,,E,,BB,,,,,,,,
8,蘇柏恩,23,4,1;0,,,,,,,,,K,,,,,,,
9,陳昱仁,58,6;9,1;0,,,,1,,H,,F,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
